,0
0,-0.02839778149855917
1,-0.02839778149855917
2,-0.02839778149855917
3,-0.02839778149855917
4,-0.02839778149855917
5,-0.02839778149855917
6,-0.02839778149855917
7,-0.02839778149855917
8,-0.02839778149855917
9,-0.02839778149855917
